Result for strategy BB_RPB_TSL
=========================================================== BACKTESTING REPORT ===========================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|-------------+--------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
| signal_profit_q_pmax_bear( ewo2 clucHA ) |       2 |      2     0     0   100 |           2.28 |           4.56 |            10.966 |           0.04 |
|      sell_profit_u_bear_1_1( local_dip ) |       1 |      1     0     0   100 |           1.54 |           1.54 |             3.694 |           0.02 |
|                sell_profit_t_0_1( ewo2 ) |       1 |      1     0     0   100 |           0.12 |           0.12 |             0.291 |           0    |
|             sell_profit_u_bear_1_2( bb ) |       1 |      1     0     0   100 |           1.15 |           1.15 |             2.765 |           0.01 |
|          sell_profit_t_1_1( ewo clucHA ) |       1 |      1     0     0   100 |           1.66 |           1.66 |             3.99  |           0.02 |
|     signal_profit_q_momdiv( r_deadfish ) |       1 |      1     0     0   100 |           2.42 |           2.42 |             5.808 |           0.02 |
|              sell_profit_t_0_2( bb ewo ) |       1 |      1     0     0   100 |           0.22 |           0.22 |             0.527 |           0    |
|               sell_profit_t_1_10( ewo2 ) |       1 |      1     0     0   100 |           1.52 |           1.52 |             3.65  |           0.01 |
|               sell_profit_t_1_10( cofi ) |       1 |      1     0     0   100 |           1.46 |           1.46 |             3.51  |           0.01 |
|         sell_profit_u_bear_1_2( clucHA ) |       1 |      1     0     0   100 |           1.92 |           1.92 |             4.613 |           0.02 |
|                sell_profit_t_0_3( ewo2 ) |       1 |      1     0     0   100 |           1.05 |           1.05 |             2.529 |           0.01 |
|              sell_profit_t_1_1( sqzmom ) |       1 |      1     0     0   100 |           1.42 |           1.42 |             3.401 |           0.01 |
|          signal_profit_q_pmax_bear( bb ) |       1 |      1     0     0   100 |           2.29 |           2.29 |             5.504 |           0.02 |
|       signal_profit_q_momdiv_coh( ewo2 ) |       1 |      1     0     0   100 |           2.07 |           2.07 |             4.984 |           0.02 |
|         sell_stoploss_deadfish( sqzmom ) |       1 |      0     0     1     0 |          -8.86 |          -8.86 |           -21.279 |          -0.09 |
|  sell_profit_u_bear_1_1( local_uptrend ) |       1 |      1     0     0   100 |           1.06 |           1.06 |             2.553 |           0.01 |
|       sell_profit_u_bear_1_1( ewo ewo2 ) |       1 |      1     0     0   100 |           1.54 |           1.54 |             3.707 |           0.02 |
|              sell_profit_t_1_1( nfi_38 ) |       1 |      1     0     0   100 |           1.35 |           1.35 |             3.25  |           0.01 |
|                  sell_profit_t_0_2( bb ) |       1 |      1     0     0   100 |           0.31 |           0.31 |             0.743 |           0    |
|            sell_profit_t_cti_r_0_1( bb ) |       1 |      1     0     0   100 |           0.28 |           0.28 |             0.681 |           0    |
